이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
곽빈,24, P,3.01,13,13,0,0,0,0,5,4,0,0,76.1,27,28,26.80,318,63,11,0,2,27,2,0,74,5,0,7,3.18,3.30,3.16,3.13,3.23,1.18
스탁,22, P,2.68,29,29,0,0,0,0,9,10,0,0,165.0,66,87,83.95,722,162,24,2,9,83,10,0,138,9,0,12,3.60,4.75,4.58,4.74,4.09,1.48
곽빈,21, P,2.45,21,21,0,0,0,0,4,7,0,0,98.2,45,50,46.20,455,78,17,3,7,79,12,0,96,2,1,6,4.10,4.56,4.21,4.32,5.04,1.59
후랭코프,19, P,2.44,22,22,0,0,0,0,9,8,0,0,117.1,47,48,46.95,495,110,20,2,5,30,13,1,111,4,1,2,3.61,3.68,3.60,3.89,3.09,1.19
홍건희,21, P,2.39,65,0,65,11,0,0,6,6,3,17,74.1,23,23,27.10,303,65,11,0,3,27,0,0,82,0,1,7,2.78,2.78,3.28,3.36,2.62,1.24
이영하,20, P,2.39,42,19,23,20,0,0,5,11,6,0,132.0,68,78,78.00,605,148,26,1,9,66,5,3,85,7,1,4,4.64,5.32,5.32,5.45,4.82,1.62
최승용,23, P,1.94,34,20,14,4,0,0,3,6,1,0,111.0,49,54,52.10,479,116,11,1,9,34,4,0,82,7,0,3,3.97,4.38,4.22,4.44,4.03,1.35
김동주,23, P,1.81,18,17,1,1,0,0,3,6,0,0,78.1,36,37,33.25,334,73,14,4,5,35,4,0,59,4,1,4,4.14,4.25,3.82,3.94,4.27,1.38
김강률,21, P,1.81,50,0,50,43,0,0,3,0,21,3,51.2,12,15,17.90,230,54,7,2,2,25,1,4,41,3,0,4,2.09,2.61,3.12,3.32,3.68,1.53
이용찬,19, P,1.72,26,26,0,0,0,0,7,10,0,0,148.1,67,75,70.90,651,168,28,2,15,45,6,3,102,8,0,3,4.07,4.55,4.30,4.56,4.34,1.44
브랜든,24, P,1.71,11,11,0,0,0,0,6,4,0,0,61.0,21,29,27.45,257,61,8,2,3,10,3,0,60,8,0,2,3.10,4.28,4.05,4.24,2.96,1.16
정철원,22, P,1.68,58,0,58,9,0,0,4,3,3,23,72.2,25,26,29.90,294,60,12,2,4,26,2,2,47,2,0,7,3.10,3.22,3.70,3.75,3.93,1.18
브랜든,22, P,1.62,11,11,0,0,0,0,5,3,0,0,65.0,26,29,28.15,276,56,10,0,5,24,1,0,40,7,1,2,3.60,4.02,3.90,4.03,4.35,1.23
박치국,20, P,1.45,63,0,63,9,0,0,4,4,0,7,71.2,23,34,31.15,317,65,12,2,5,34,5,4,66,7,0,1,2.89,4.27,3.91,4.25,4.04,1.38
유희관,20, P,1.38,27,27,0,0,0,0,10,11,0,0,136.1,76,91,87.05,622,190,37,5,14,39,3,4,56,8,0,1,5.02,6.01,5.75,6.05,5.15,1.68
최원준,23, P,1.23,26,20,6,1,0,0,3,10,0,0,107.2,59,60,58.50,465,119,33,1,11,28,12,0,71,2,0,1,4.93,5.02,4.89,4.95,4.57,1.37
이승진,21, P,1.19,47,0,47,9,0,0,1,4,2,13,48.1,21,24,19.40,210,41,3,0,3,31,2,2,28,2,2,2,3.91,4.47,3.61,3.76,5.11,1.49
알칸타라,24, P,1.18,8,8,0,0,0,0,1,2,0,0,45.2,20,21,20.65,188,39,5,3,6,15,2,0,20,2,0,0,3.94,4.14,4.07,4.32,5.79,1.18
홍건희,24, P,1.07,25,0,25,14,0,0,1,0,9,0,25.1,5,6,7.55,107,20,1,0,1,14,1,4,20,0,0,5,1.78,2.13,2.68,2.85,4.26,1.34
김택연,24, P,1.07,29,0,29,7,0,0,2,0,1,4,29.2,9,10,9.50,125,21,6,0,1,16,1,0,33,1,0,1,2.73,3.03,2.88,2.98,3.57,1.25
이병헌,24, P,1.06,35,0,35,4,0,0,5,0,0,4,33.1,10,13,13.10,144,30,3,1,2,19,1,1,27,1,1,0,2.70,3.51,3.54,3.68,4.63,1.47
최준호,24, P,1.02,9,8,1,0,0,0,2,1,0,0,41.0,17,20,20.15,178,40,5,1,7,15,2,0,34,2,0,2,3.73,4.39,4.42,4.51,5.41,1.34
최원준,19, P,0.97,34,3,31,5,0,0,1,2,1,4,54.1,16,17,18.40,228,52,12,1,1,16,4,1,38,1,0,1,2.65,2.82,3.05,3.27,3.36,1.25
함덕주,20, P,0.95,36,6,30,19,0,0,5,1,10,2,55.1,24,25,28.75,240,55,7,0,2,21,0,2,55,1,0,7,3.90,4.07,4.68,4.97,3.06,1.37
