이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
안권수,23, LF,1.84,1.17,0.67,95,309,302,268,42,72,6,1,2,86,29,16,7,30,1,1,40,4,7,3,0.269,0.341,0.321,0.662,-0.014,92.1
황성빈,24, LF,1.69,1.58,0.11,45,117,116,103,36,35,0,3,4,53,10,22,1,13,0,0,16,1,1,0,0.340,0.414,0.515,0.929,0.059,142.5
이대호,19, DH,1.57,3.26,-1.69,135,549,547,485,48,138,23,1,16,211,88,0,0,47,10,4,65,19,0,7,0.285,0.355,0.435,0.790,0.012,113.6
전준우,22, LF,1.55,3.75,-2.20,120,517,516,470,73,143,31,1,11,209,68,6,3,35,3,1,73,14,0,9,0.304,0.350,0.445,0.795,0.024,123.9
고승민,24, 2B,1.51,1.64,-0.13,41,171,171,148,22,46,11,1,3,68,29,4,2,20,1,0,30,3,0,2,0.311,0.392,0.459,0.851,0.045,132.5
피터스,22, CF,1.46,1.62,-0.15,85,354,354,316,32,72,16,0,13,127,48,7,4,26,8,1,77,5,0,4,0.228,0.299,0.402,0.701,-0.001,101.8
지시완,21, C,1.36,0.62,0.74,73,187,185,166,23,40,9,0,7,70,26,0,0,14,5,0,54,6,2,0,0.241,0.319,0.422,0.741,-0.010,95.1
아수아헤,19, 2B,1.35,0.96,0.39,49,194,191,163,34,41,5,4,2,60,21,4,2,26,1,1,24,0,3,1,0.252,0.356,0.368,0.724,0.003,106.5
손호영,24, 3B,1.31,1.40,-0.10,32,125,124,117,20,39,9,2,5,67,24,6,4,4,3,0,24,1,1,0,0.333,0.371,0.573,0.944,0.068,149.3
추재현,21, RF,1.18,1.02,0.16,95,300,295,262,37,66,15,0,5,96,26,4,3,26,7,0,57,3,5,0,0.252,0.336,0.366,0.702,-0.012,93.9
전준우,24, DH,1.17,1.73,-0.56,40,176,176,159,20,50,11,1,7,84,31,3,1,14,2,0,26,4,0,1,0.314,0.375,0.528,0.903,0.057,140.9
김준태,21, C,1.12,0.34,0.78,47,131,131,111,17,23,5,0,4,40,15,0,0,17,1,0,35,2,0,2,0.207,0.313,0.360,0.673,-0.026,82.5
오윤석,20, 2B,1.02,1.26,-0.23,63,197,196,168,31,50,7,1,4,71,32,2,1,24,2,0,47,2,1,2,0.298,0.388,0.423,0.811,0.016,114.9
윤동희,24, CF,1.00,1.10,-0.11,57,242,241,216,47,65,17,1,2,90,23,4,2,22,1,0,40,3,1,2,0.301,0.365,0.417,0.782,0.005,101.9
신본기,19, SS,0.90,0.35,0.55,121,413,407,375,43,96,9,0,1,108,26,3,3,24,8,1,62,9,5,1,0.256,0.314,0.288,0.602,-0.036,74.0
신용수,22, RF,0.88,0.71,0.17,49,73,73,68,8,16,4,2,2,30,7,3,1,4,1,0,15,0,0,0,0.235,0.288,0.441,0.729,0.033,131.3
이대호,21, DH,0.88,2.32,-1.44,114,465,463,420,39,120,11,0,19,188,81,0,0,34,5,3,50,12,0,6,0.286,0.342,0.448,0.790,0.005,107.9
윤동희,23, RF,0.88,1.21,-0.33,107,423,421,387,45,111,18,1,2,137,41,3,6,28,1,0,69,10,2,5,0.287,0.333,0.354,0.687,-0.014,92.1
이병규,20, 1B,0.85,1.23,-0.37,53,194,194,164,28,45,4,0,9,76,32,0,0,28,1,0,55,5,0,1,0.274,0.381,0.463,0.844,0.024,121.4
윌슨,19, 3B,0.82,1.26,-0.45,68,268,268,231,21,58,15,0,9,100,37,1,2,31,5,0,60,8,0,1,0.251,0.351,0.433,0.784,0.004,107.3
김재유,20, CF,0.79,0.48,0.31,68,133,131,116,20,30,1,0,1,34,9,10,2,12,3,0,35,2,2,0,0.259,0.344,0.293,0.637,-0.018,89.5
안치홍,20, 2B,0.71,1.62,-0.91,124,460,454,412,49,118,28,0,8,170,54,14,3,35,7,2,47,11,4,2,0.286,0.351,0.413,0.764,-0.016,90.6
강태율,20, C,0.69,0.54,0.15,14,18,18,11,2,5,0,0,2,11,2,0,0,7,0,0,2,1,0,0,0.455,0.667,1.000,1.667,0.288,321.8
나승엽,24, 1B,0.69,0.69,0.00,37,138,138,121,17,36,8,3,1,53,12,0,0,15,0,0,33,0,0,2,0.298,0.370,0.438,0.808,0.011,106.3
지시완,22, C,0.51,0.22,0.28,75,199,197,174,16,37,7,0,3,53,17,0,0,20,2,1,55,7,2,1,0.213,0.299,0.305,0.604,-0.037,71.5
이정훈,23, DH,0.49,0.88,-0.38,59,171,171,152,17,45,7,0,1,55,17,1,1,13,3,0,28,1,0,3,0.296,0.357,0.362,0.719,0.003,107.0
