이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
손민석,23, SS,0.045,5,0,7.0,4,4,0,0,100.0,5.14,0.40,,0.02,,,,,,0.42,6.78,0.04,0.46,0.041
김병희,19, 3B,0.044,3,2,17.0,7,2,5,0,100.0,3.71,0.46,,0.02,-0.14,0.12,,,,0.45,16.37,0.00,0.45,0.044
김민혁,20, RF,0.044,6,1,14.0,3,3,0,0,100.0,1.93,0.80,-0.27,0.02,,,,,,0.55,0.74,-0.05,0.50,0.049
홍현빈,21, RF,0.043,2,0,5.0,2,2,0,0,100.0,3.60,0.45,,0.01,,,,,,0.46,1.54,-0.01,0.45,0.044
유준규,22, SS,0.042,1,0,1.2,1,0,1,0,100.0,5.40,0.39,,0.00,,,,,,0.39,8.11,0.04,0.43,0.039
문상철,21, LF,0.042,3,0,3.1,1,1,0,0,100.0,2.70,0.45,0.00,0.00,,,,,,0.45,1.23,-0.01,0.44,0.043
배정대,19, LF,0.039,20,3,48.2,10,9,1,0,100.0,1.85,0.31,0.22,0.05,,,,,,0.58,1.26,-0.18,0.40,0.056
김준태,24, C,0.039,18,3,57.1,41,39,2,0,100.0,6.44,0.00,,0.22,,,-0.38,-0.03,,-0.19,-1.22,0.60,0.41,-0.018
조대현,24, C,0.037,8,1,24.0,22,22,0,0,100.0,8.25,0.00,,0.09,,,,0.06,,0.15,2.64,0.24,0.39,0.014
강민성,23, 1B,0.036,1,0,3.0,4,3,1,0,100.0,12.00,-0.07,,0.01,,0.46,,,,0.39,4.72,-0.02,0.37,0.038
조용호,21, CF,0.035,2,2,10.0,2,2,0,0,100.0,1.80,0.35,,0.01,,,,,,0.36,0.38,0.00,0.36,0.035
조용호,20, LF,0.035,86,69,525.2,114,107,6,1,99.1,1.93,3.07,0.12,0.16,,,,,,3.35,3.66,-2.96,0.39,0.296
문상철,21, 1B,0.034,18,7,66.2,77,74,3,0,100.0,10.40,0.88,,0.06,,,,,,0.93,2.53,-0.58,0.35,0.089
김민혁,21, CF,0.033,2,0,4.0,1,1,0,0,100.0,2.25,0.35,,0.00,,,,,,0.35,0.67,0.00,0.35,0.033
문상철,20, LF,0.031,15,11,89.0,23,23,0,0,100.0,2.33,0.20,0.48,0.11,,,,,,0.79,1.53,-0.44,0.35,0.070
박민석,19, SS,0.029,2,0,2.0,1,0,1,0,100.0,4.50,0.28,,0.00,,,,,,0.28,13.45,0.02,0.30,0.027
이시원,23, RF,0.029,15,5,59.0,21,21,0,0,100.0,3.20,0.91,-0.53,0.12,,,,,,0.49,2.45,-0.19,0.30,0.048
송민섭,23, CF,0.029,17,0,37.2,14,14,0,0,100.0,3.35,0.35,-0.10,0.05,,,,,,0.30,0.63,0.00,0.30,0.029
김태훈,22, 1B,0.028,6,1,19.0,20,18,2,0,100.0,9.47,0.41,,0.01,,,,,,0.43,8.78,-0.14,0.29,0.042
신본기,22, 3B,0.027,21,5,77.2,23,8,15,0,100.0,2.67,0.49,,0.07,-0.28,,,,,0.27,0.53,0.00,0.27,0.027
이호연,23, 3B,0.027,12,6,60.0,16,3,12,1,93.8,2.25,-0.12,,0.20,0.10,0.10,,,,0.28,0.47,0.00,0.28,0.027
조용호,23, CF,0.027,1,0,2.0,1,1,0,0,100.0,4.50,0.35,-0.07,0.00,,,,,,0.28,0.63,0.00,0.28,0.027
박승욱,19, 3B,0.026,11,8,68.1,17,2,15,0,100.0,2.24,-0.32,,0.06,0.52,,,,,0.26,0.37,0.00,0.26,0.026
문상인,22, C,0.026,10,0,13.2,10,9,1,0,100.0,6.59,0.00,,0.04,,,0.26,-0.19,0.13,0.24,2.86,0.02,0.26,0.023
오태곤,20, LF,0.025,31,8,93.2,27,26,1,0,100.0,2.59,0.30,0.26,0.12,,,,,,0.69,1.05,-0.40,0.29,0.061
문상준,22, SS,0.024,1,0,5.0,2,1,1,0,100.0,3.60,0.46,,0.01,-0.27,,,,,0.20,14.75,0.04,0.24,0.020
오태곤,19, RF,0.024,2,0,7.0,1,1,0,0,100.0,1.29,0.13,0.13,0.01,,,,,,0.27,0.32,-0.03,0.24,0.027
조대현,22, C,0.023,4,0,5.1,6,6,0,0,100.0,10.13,0.00,,0.02,,,-0.13,0.16,0.14,0.18,4.41,0.05,0.23,0.018
고명성,19, 2B,0.023,9,0,15.1,10,2,8,0,100.0,5.87,0.15,,0.02,,,,,,0.17,0.82,0.06,0.23,0.017
장준원,22, SS,0.019,11,3,48.1,18,5,13,0,100.0,3.35,-0.21,,0.08,-0.03,,,,,-0.16,-0.66,0.36,0.20,-0.016
정현,19, 3B,0.018,2,1,5.1,1,0,1,0,100.0,1.69,0.39,,0.00,0.00,-0.22,,,,0.18,0.98,0.00,0.18,0.018
안치영,23, CF,0.015,4,2,15.0,5,5,0,0,100.0,3.00,0.13,0.00,0.02,,,,,,0.15,0.29,0.00,0.15,0.015
홍현빈,20, CF,0.013,11,2,22.2,7,7,0,0,100.0,2.78,-0.22,0.33,0.02,,,,,,0.14,0.51,0.00,0.14,0.013
장준원,22, 2B,0.012,19,8,78.1,36,13,23,0,100.0,4.14,-0.53,,0.09,0.24,,,,,-0.20,-0.82,0.32,0.12,-0.020
김진곤,19, CF,0.011,5,3,19.0,5,5,0,0,100.0,2.37,0.56,-0.47,0.02,,,,,,0.12,0.88,0.00,0.12,0.011
안치영,23, LF,0.011,10,0,14.2,4,4,0,0,100.0,2.45,0.37,-0.23,0.03,,,,,,0.16,0.31,-0.05,0.11,0.016
송민섭,24, CF,0.010,2,0,5.0,2,2,0,0,100.0,3.60,0.00,0.10,0.01,,,,,,0.11,3.13,0.00,0.11,0.010
유한준,19, LF,0.008,1,1,6.0,0,0,0,0,,0.00,0.00,0.11,0.01,,,,,,0.12,0.12,-0.04,0.08,0.012
고명성,21, SS,0.007,4,0,4.2,3,0,3,0,100.0,5.79,0.31,,0.01,-0.26,,,,,0.05,1.11,0.02,0.07,0.005
오재일,24, 1B,0.007,5,4,41.1,37,35,2,0,100.0,8.06,0.40,,0.09,,,,,,0.49,2.20,-0.42,0.07,0.046
이시원,22, CF,0.007,3,0,3.2,1,1,0,0,100.0,2.45,0.06,,0.01,,,,,,0.07,0.31,0.00,0.07,0.007
이해창,19, C,0.006,25,12,103.1,79,68,10,1,98.7,6.79,0.00,,-0.18,,0.05,0.89,-0.05,-1.54,-0.83,-3.96,0.89,0.06,-0.081
오윤석,24, 1B,0.005,3,0,4.0,5,5,0,0,100.0,11.25,0.07,,0.01,,,,,,0.08,0.46,-0.02,0.06,0.007
강백호,22, 1B,0.005,16,13,111.0,100,91,7,2,98.0,7.95,0.98,,0.08,,0.15,,,,1.21,2.81,-1.16,0.05,0.118
홍현빈,22, CF,0.005,8,5,40.2,8,8,0,0,100.0,1.77,-0.03,0.02,0.06,,,,,,0.05,0.12,0.00,0.05,0.005
안치영,24, LF,0.005,3,0,4.0,1,1,0,0,100.0,2.25,0.07,,0.00,,,,,,0.07,0.33,-0.02,0.05,0.007
