이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
김시앙,24, C,-0.05,-0.11,0.06,6,7,7,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.143,0.143,0.143,0.286,-0.210,-61.7
전병우,23, 1B,-0.05,-0.07,0.02,41,75,73,62,6,9,3,0,1,15,6,0,0,10,1,0,28,0,2,0,0.145,0.274,0.242,0.516,-0.050,62.1
김수환,20, 2B,-0.05,-0.04,-0.02,9,12,12,11,1,2,1,0,0,3,2,0,0,1,0,0,5,1,0,0,0.182,0.250,0.273,0.523,-0.105,22.8
김준완,23, LF,-0.05,-0.03,-0.02,76,225,219,189,25,42,7,0,0,49,14,0,0,26,1,0,57,2,6,3,0.222,0.315,0.259,0.574,-0.045,66.6
임병욱,19, CF,-0.06,0.55,-0.61,117,419,413,379,39,92,17,5,0,119,41,10,2,23,11,0,110,6,6,0,0.243,0.305,0.314,0.619,-0.040,70.1
박성빈,24, C,-0.06,-0.12,0.06,6,9,9,8,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.125,0.222,0.125,0.347,-0.155,-19.4
임지열,21, RF,-0.07,-0.10,0.03,19,30,30,25,5,3,0,0,0,3,0,0,1,4,1,0,10,1,0,0,0.120,0.267,0.120,0.387,-0.091,29.9
김수환,22, 1B,-0.08,0.15,-0.23,57,168,165,140,18,25,6,0,4,43,14,0,0,21,3,0,56,0,3,1,0.179,0.297,0.307,0.604,-0.040,68.9
박주홍,22, LF,-0.08,-0.02,-0.06,21,57,56,49,4,11,1,1,0,14,3,0,0,8,0,1,18,1,0,0,0.224,0.333,0.286,0.619,-0.048,62.9
이병규,22, 1B,-0.09,-0.17,0.08,24,40,40,38,7,7,1,1,0,10,5,1,0,2,0,0,11,0,0,0,0.184,0.225,0.263,0.488,-0.086,29.4
임병욱,24, CF,-0.10,0.03,-0.13,15,36,36,33,4,9,1,0,0,10,3,1,0,3,0,0,10,1,0,0,0.273,0.333,0.303,0.636,-0.049,60.8
박준태,21, CF,-0.11,0.18,-0.29,27,58,58,46,10,9,3,0,0,12,4,1,0,10,2,0,16,0,0,0,0.196,0.362,0.261,0.623,-0.021,86.4
김주형,21, 2B,-0.11,0.36,-0.47,36,70,67,50,5,9,3,0,0,12,5,1,0,4,13,0,15,0,3,0,0.180,0.388,0.240,0.628,-0.006,98.9
김지수,19, SS,-0.12,-0.08,-0.04,69,32,32,30,3,8,2,0,0,10,3,0,0,2,0,0,7,1,0,0,0.267,0.313,0.333,0.646,-0.041,68.6
박주홍,24, LF,-0.12,-0.12,0.00,2,6,6,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.167,0.000,0.167,-0.202,-55.4
김주형,22, SS,-0.12,0.14,-0.26,55,130,128,110,16,22,7,1,1,34,5,1,0,4,13,0,29,4,2,1,0.200,0.305,0.309,0.614,-0.033,75.4
